ชนิดยาเสพติด,ประเภทข้อมูล,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
เฮโรอีน,จำนวนคดี,797,867,986,"1,097",829,836,772,"1,125","1,005",926,"1,091"
,จำนวนผู้ต้องหา,902,968,"1,138","1,186",945,"1,007",894,"1,273","1,114","1,067","1,205"
,น้ำหนัก (กิโลกรัม),540.69,127.52,784.67,371.23,234.67,333.57,646.3,"1,189.58",723.46,"1,873.78","3,332.16"
เอ็กซ์ตาซี,จำนวนคดี,140,120,114,144,106,201,140,199,213,229,150
,จำนวนผู้ต้องหา,181,156,132,167,126,250,172,,,327,
,น้ำหนัก (กิโลกรัม),5.27,1.91,3.58,7.34,3.49,23.01,21.63,,,121.97,
ฝิ่นดิบ,จำนวนคดี,370,404,503,474,262,406,351,485,400,340,360
,จำนวนผู้ต้องหา,388,445,537,496,291,437,382,535,429,366,373
,น้ำหนัก (กิโลกรัม),31.05,28.85,61.01,45.64,29.96,154.83,484.7,438.55,"1,528.10",174.61,251.73
ฝิ่นสุก,จำนวนคดี,75,87,88,89,50,47,37,74,44,37,31
,จำนวนผู้ต้องหา,78,97,98,96,53,47,38,77,44,37,31
,น้ำหนัก (กิโลกรัม),5.07,1.23,1.52,2.79,224.46,6.55,0.36,1.35,3.07,0.64,5.8
พืชฝิ่น,จำนวนคดี,36,38,116,98,45,280,101,168,33,23,48
,จำนวนผู้ต้องหา,36,38,117,99,46,283,101,169,34,23,48
,น้ำหนัก (กิโลกรัม),166.54,248.8,120.87,"1,688.88","2,147.72",690.43,"1,987.57",937.04,138.32,250.75,251.8
กัญชาแห้ง,จำนวนคดี,"9,698","10,834","14,639","13,958","9,441","10,122","8,629","8,584","6,926","6,211","6,407"
,จำนวนผู้ต้องหา,"10,725","11,821","15,794","15,300","10,350","11,018","9,407","9,300","7,332","6,737","6,856"
,น้ำหนัก (กิโลกรัม),"12,794.81","24,398.47","26,668.50","32,203.98","24,518.92","33,234.07","31,701.70","44,143.55","27,560.22","42,995.12","71,769.54"
กัญชาสด,จำนวนคดี,455,595,672,"1,562","1,098",925,834,968,"1,741","6,064","7,038"
,จำนวนผู้ต้องหา,474,632,709,"1,644","1,167",973,881,"1,005","1,764","6,145","7,080"
,น้ำหนัก (กิโลกรัม),"1,353.04","2,625.11","1,354.99","5,970.72","2,458.33","1,702.53","1,224.56","1,619.55","6,623.00","7,243.98","5,146.50"
ยางกัญชา/กัญชาน้ำ,จำนวนคดี,16,6,10,6,3,9,3,5,42,10,17
,จำนวนผู้ต้องหา,16,7,12,6,3,10,3,11,47,15,20
,น้ำหนัก (กิโลกรัม),71.15,18.19,49.7,13.01,5.6,2.14,5.01,8.59,87.5,15.75,34.53
พืชกระท่อม,จำนวนคดี,"5,643","6,970","10,217","15,314","21,656","23,206","20,560","18,315","12,819","16,312","5,767"
,จำนวนผู้ต้องหา,"7,327","8,711","12,222","18,389","25,578","27,024","23,350","20,291","14,064","17,535","6,265"
,น้ำหนัก (กิโลกรัม),"22,260.00","32,414.83","33,820.70","55,562.82","66,564.80","86,212.73","94,425.37","73,648.88","92,929.94","83,326.16","43,190.35"
เมทแอมเฟตามีน,จำนวนคดี,"157,733","163,927","201,214","154,526","102,021","115,381","132,410","171,678","138,150","94,126","98,003"
,จำนวนผู้ต้องหา,"165,983","172,410","209,994","162,708","108,164","122,770","139,987",,,"99,393",
,น้ำหนัก (กิโลกรัม),"4,793.36","8,594.81","11,523.23","10,099.50","9,893.91","11,125.69","24,816.36",,,"37,135.87",
วัตถุออกฤทธิ์อื่น ๆ,จำนวนคดี,829,755,516,645,818,492,358,187,119,83,39
,จำนวนผู้ต้องหา,930,828,587,705,917,549,386,207,139,103,47
,น้ำหนัก (กิโลกรัม),"1,042.98",209.71,125.06,52.44,24.57,10.31,5.24,9.36,57.35,3.4,4.76
สารระเหย,จำนวนคดี,"2,790","2,059","2,099","2,012","1,301","1,046",621,518,486,311,197
,จำนวนผู้ต้องหา,"2,813","2,065","2,117","2,031","1,316","1,055",622,520,486,314,197
,น้ำหนัก (กิโลกรัม),79.16,68.82,74.22,64.74,76.81,52.71,19.96,18.79,18.42,14.3,9.42
ไอซ์,จำนวนคดี,"16,690","21,716","15,214","11,463","8,553","15,154","15,532","19,313","23,688","25,293","19,339"
,จำนวนผู้ต้องหา,"19,489","24,667","17,280","13,151","9,856","16,980","17,548","21,734","25,877","27,577","21,167"
,น้ำหนัก (กิโลกรัม),"1,218.09","1,606.57","1,401.07","1,038.98","1,122.81","2,331.41","6,184.84","18,821.24","17,504.72","25,129.34","19,266.94"
โคคาอีน (โคเคน),จำนวนคดี,59,64,51,62,64,63,58,64,55,48,49
,จำนวนผู้ต้องหา,81,77,71,75,89,76,77,79,60,60,67
,น้ำหนัก (กิโลกรัม),31.95,17.93,69.8,28.59,56.57,54.57,451.52,53.6,41.92,36.76,50.09
คีตามีน,จำนวนคดี,149,141,124,178,126,284,295,430,682,568,394
,จำนวนผู้ต้องหา,165,171,140,210,147,356,409,530,784,699,505
,น้ำหนัก (กิโลกรัม),77.27,21.02,31.38,40.07,27.15,178.9,549.9,"1,123.66","1,106.04","1,929.38","1,028.49"
โคเดอีน,จำนวนคดี,0,0,0,0,0,1,0,1,0,0,0
,จำนวนผู้ต้องหา,0,0,0,0,0,1,0,1,0,1,0
,น้ำหนัก (กิโลกรัม),0,0,0,0,0,0,0,28,0,0,0
อื่น ๆ,จำนวนคดี,"2,918","3,766","6,927","11,105","11,450","12,488","15,240","15,993","13,052","15,286","7,487"
,จำนวนผู้ต้องหา,"5,270","6,018","10,135","16,406","15,165","15,449","18,240","18,210","14,568","16,898","8,264"
,น้ำหนัก (กิโลกรัม),"9,274.91","10,847.98","33,052.62","21,262.92","26,663.27","26,505.72","41,263.35","35,169.69","201,789.47","35,831.33","17,799.10"